;FluxValues
R_OROATP;-0.0007
R_CU2t;3.559406590675211e-12
R_MN2t;8.196792084814143e-06
R_ZN2t;7.000821688583324e-06
R_MG2t;1.8596031854280223e-05
R_CA2t;0.0
R_monoacylglycerol_lipase;0.0
R_diacylglycerol_lipase;0.0
R_SLIME_assembly_generic_lipid;0.0034021660030374872
R_SLIME_assembly_generic_backbone;0.0034021660030374872
R_SLIME_assembly_generic_chain;0.006561320148715154
R_SLIME_rxn_pc_SC_c;0.0005851725525224477
R_SLIME_rxn_pa_SC_c;0.0003402166003037487
R_SLIME_rxn_pe_SC_c;0.0006089877145437102
R_SLIME_rxn_ps_SC_c;7.484765206682471e-05
R_SLIME_rxn_ptd1ino_SC_c;0.0008301285047411468
R_SLIME_rxn_12dgr_SC_c;0.00014629313813061193
R_SLIME_rxn_triglyc_SC_c;0.00023474945420958663
R_SLIME_rxn_dummy_ergstest_head_c;0.0005817703865194103
R_SLIME_chain_C10_0_to_metabolite;-0.0
R_SLIME_chain_C12_0_to_metabolite;-0.0
R_SLIME_chain_C14_0_to_metabolite;-0.0
R_SLIME_chain_C16_0_to_metabolite;-0.0
R_SLIME_chain_C16_1_to_metabolite;-0.0026098841649615586
R_SLIME_chain_C18_0_to_metabolite;-0.0
R_SLIME_chain_C18_1_to_metabolite;-0.0
R_SLIME_chain_C18_2_to_metabolite;-0.0
R_polyPkinase;0.040314832624
R_CYSTRSm;4.6155686918993605e-06
R_CysTransportMitochondria;6.435162084137115e-06
R_PROTRSm;2.741309178881242e-05
R_SERTRSm;4.896013436173364e-05
R_GLYTRSm;5.037582907479618e-05
R_ALATRSm;4.617609458773353e-05
R_GLUTRSm_glutaminetrna;1.5241824859793745e-05
R_GatFABm;1.5241824859793745e-05
R_13BGH;0.0
R_13BGHe;0.0
R_13GS;0.034317713225000004
R_16GS;0.0
R_23CAPPD;0.0
R_2DDA7Ptm;-0.0
R_2DHPtm;-0.0
R_2DOXG6PP;0.0
R_2HBO;-0.0
R_2HBt2;-0.0
R_2HMHMBQMTm;0.0
R_2HP6MPMOm;0.0
R_2HPMBQMTm;0.0
R_2HPMMBQMOm;0.0
R_2MBACt;0.0
R_2MBALDt;-0.0
R_2MBALDtm;-0.0
R_2MBTOHt;-0.0
R_2MBTOHtm;-0.0
R_2MPPALt;-0.1467291854978531
R_2MPPALtm;-0.0
R_2OBUTtm;-0.0
R_2OXOADPtim;0.008985247391281505
R_2PHETOHt;-0.0
R_2PHETOHtm;-0.0
R_34HPLFM;0.0
R_34HPPOR;0.0
R_34HPPt2m;-0.0
R_34HPPt2p;-0.0
R_3C3HMPt;-0.0
R_3C3HMPtm;-0.13382216855463921
R_3C4MOPtm;-0.0
R_3DH5HPBMTm;0.0
R_3DH5HPBtm;-0.0
R_3DSPHR;0.0
R_3HAO;0.0
R_3HPH5MBDCm;0.0
R_3IPM3MT;0.0
R_3MBALDt;-0.0
R_3MBALDtm;-0.0
R_3MOBDC;0.1467291854978531
R_3MOBtm;-0.19056822425218492
R_3MOPDC;0.0
R_3MOPt;-0.0
R_3MOPtm;-0.00855281256757999
R_3OPHB5Hm;0.0
R_3OPHB_5tm;-0.0
R_4ABUTNtm;-0.0
R_4ABUTtm;-0.0
R_4ABZt;-0.0
R_4ABZtm;-0.0
R_4H2OGLTtm;-0.0
R_4H2OGLTtp;-0.0
R_4HBZCOAFm;0.0
R_4HBZFm;0.0
R_4HBZtm;-0.0
R_4HGLSDm;-0.0
R_4HPRO_LTtm;-0.0
R_4HTHRS;0.0
R_4MOPDC;0.12190383906220364
R_5AOPt2;0.0
R_5AOPtm;-1.1865071400699842e-05
R_6PGLter;-0.0011635407730388207
R_8AONNt2;-0.0
R_AABTN;0.0
R_AACTOOR;0.0
R_AASAD1;0.0
R_AASAD2;0.008985247391281505
R_AATA;-0.0
R_ABTA;2.1026578736649295e-06
R_ABTt;-0.0
R_ABUTDm;0.0
R_ABUTt2r;0.0
R_ACACT1r;0.0
R_ACACT1m;0.003490622319116462
R_ACACT4p;0.0
R_ACACT5p;0.0
R_ACACT6p;0.0
R_ACACT7p;0.0
R_ACACT8p;0.0
R_ACACT9p;0.0
R_ACALDCD;0.0
R_ACALDt;-0.0077
R_ACALDtm;-0.30501491576032497
R_ACCOAC;-0.0
R_ACCOACrm;-0.0
R_ACCOAtn;-0.0
R_ACESt;0.0
