,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location
Total,1.9986538504194656e+21,1.0,0.2647516700239575,,,0.9999999999999999,,,Total
pg_n,4.310546703304869e+19,0.021567249888719834,1.0,,,,,,pg_n
n,1.625347166223099e+19,0.008132209416262755,0.0,1.0317530037736264,0.7990792903499362,0.08,0.9161922494650896,,n
pg_Secreted,1.840466477410505e+19,0.009208530416731435,1.0,,,,,,pg_Secreted
Secreted,2.909257342445503e+18,0.0014556084045443513,0.0,1.0317530037736264,0.7990792903499362,0.0909,0.9867978005817752,,Secreted
Ribosomes,1.844329107231916e+20,0.09227856573787599,0.2224274165901211,1.0317530037736264,,0.1061,,,Ribosomes
m,2.7290476422650436e+20,0.13654428663033807,0.04615300529864785,1.0317530037736264,0.7990792903499362,0.11381867450871844,0.04615300529864785,1.0110540510748385,m
cM,3.3935679647348306e+19,0.016979268141017058,0.5209691473856306,1.0317530037736264,0.7990792903499362,0.014153340587370195,0.5209691473856306,1.0110540510748385,cM
c,1.228897954672579e+21,0.6148628260039452,0.2704657592528775,1.0317530037736264,0.7990792903499362,0.6186287449771968,0.22407862110301985,1.0110540510748385,c
gM,2.761567654210279e+19,0.013817138238473348,0.6355938739717999,1.0317530037736264,0.7990792903499362,0.011517496620450663,0.6355938739717999,1.0110540510748385,gM
erM,2.7792609653153817e+19,0.013905664378712136,0.568544429417777,1.0317530037736264,0.7990792903499362,0.011591289000857102,0.568544429417777,1.0110540510748385,erM
mIMS,8.475963011293207e+18,0.0042408359053841774,0.07186837152997771,1.0317530037736264,0.7990792903499362,0.0035350166123506066,0.07186837152997771,1.0110540510748385,mIMS
x,1.426485348448271e+19,0.007137230632252247,0.029088063074538595,1.0317530037736264,0.7990792903499362,0.005949352772446806,0.029088063074538595,1.0110540510748385,x
mIM,7.990125858352968e+19,0.039977537164207044,0.08513676262305447,1.0317530037736264,0.7990792903499362,0.03332391564995802,0.08513676262305447,1.0110540510748385,mIM
mOM,2.5280904297213067e+19,0.012648965848642205,0.35304368039922074,1.0317530037736264,0.7990792903499362,0.010543747836891373,0.35304368039922074,1.0110540510748385,mOM
vM,1.4478414766236697e+19,0.007244083192894084,0.9571948960337401,1.0317530037736264,0.7990792903499362,0.006038421433759905,0.9571948960337401,1.0110540510748385,vM
