,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location
Total,2.0793322137679763e+21,1.0,0.2894494804294707,,,1.0002124930501959,,,Total
pg_n,7.395543891929455e+19,0.035566918277709574,1.0,,,,,,pg_n
n,1.6886794920248123e+19,0.008121258742799647,0.0,1.0444440642336073,0.8301848465093702,0.08,0.911977571122368,,n
pg_Secreted,1.4526058210495801e+19,0.006985924670581139,1.0,,,,,,pg_Secreted
Secreted,2.3497485642930104e+18,0.0011300496133972793,0.0,1.0444440642336073,0.8301848465093702,0.0917,0.9893146644864887,,Secreted
Ribosomes,2.850955216368538e+20,0.13710917368044315,0.2007896742760653,1.0444440642336073,,0.11699999999999999,,,Ribosomes
erM,3.4661447768302707e+19,0.01666950934477776,0.5642792654527807,1.0444440642336073,0.8301848465093702,0.014618686710295337,0.5642792654527807,1.011406066257993,erM
mIMS,9.401469307911442e+18,0.004521388763979642,0.09649178151647864,1.0444440642336073,0.8301848465093702,0.003965129654927408,0.09649178151647864,1.011406066257993,mIMS
cM,4.3673006179696886e+19,0.02100338074431918,0.4705447603231747,1.0444440642336073,0.8301848465093702,0.018419368957277808,0.4705447603231747,1.011406066257993,cM
mOM,2.539129593834808e+19,0.012211274259218198,0.3034027988074306,1.0444440642336073,0.8301848465093702,0.010708941039403133,0.3034027988074306,1.011406066257993,mOM
x,1.7436276263383593e+19,0.008385517305956205,0.057173338079808844,1.0444440642336073,0.8301848465093702,0.007353860744433797,0.057173338079808844,1.011406066257993,x
vM,1.2623671981603344e+19,0.006071022176262963,0.9461018040310379,1.0444440642336073,0.8301848465093702,0.005324114187790863,0.9461018040310379,1.011406066257993,vM
gM,2.765756211917131e+19,0.013301175221564425,0.6350624326285292,1.0444440642336073,0.8301848465093702,0.011664753258242098,0.6350624326285292,1.011406066257993,gM
m,2.695871598338351e+20,0.12965083599859872,0.06794376746410791,1.0444440642336073,0.8301848465093702,0.11370010442359926,0.06794376746410791,1.011406066257993,m
mIM,9.40593979637278e+19,0.04523538727526465,0.12184788570170035,1.0444440642336073,0.8301848465093702,0.03967015111954337,0.12184788570170035,1.011406066257993,mIM
c,1.1525311930550506e+21,0.5542794871467598,0.3016298186602715,1.0444440642336073,0.8301848465093702,0.6030873829546828,0.24311310983715964,1.011406066257993,c
