,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location,copy_number_scaling
Total,2.0793322137679763e+21,1.0,0.2894494804294707,,,1.0002124930501959,,,Total,
pg_n,7.395543891929455e+19,0.035566918277709574,1.0,,,,,,pg_n,
n,1.6886794920248123e+19,0.008121258742799647,0.0,1.0444440642336073,0.8301848465093702,0.08,0.911978,,n,0.8670774104129199
pg_Secreted,1.4526058210495801e+19,0.006985924670581139,1.0,,,,,,pg_Secreted,
Secreted,2.3497485642930104e+18,0.0011300496133972793,0.0,1.0444440642336073,0.8301848465093702,0.0917,0.989315,,Secreted,0.8670544092788715
Ribosomes,2.850955216368538e+20,0.13710917368044315,0.2007896742760653,1.0444440642336073,,0.11699999999999999,,,Ribosomes,
x,1.7436276263383593e+19,0.008385517305956205,0.057173338079808844,1.0444440642336073,0.8301848465093702,0.007354,0.057173,1.011406066257993,x,0.8769885468821091
erM,3.4661447768302707e+19,0.01666950934477776,0.5642792654527807,1.0444440642336073,0.8301848465093702,0.014619,0.564279,1.011406066257993,erM,0.8769909541979121
m,2.695871598338351e+20,0.12965083599859872,0.06794376746410791,1.0444440642336073,0.8301848465093702,0.1137,0.067944,1.011406066257993,m,0.8769706015205299
cM,4.3673006179696886e+19,0.02100338074431918,0.4705447603231747,1.0444440642336073,0.8301848465093702,0.018419,0.470545,1.011406066257993,cM,0.8769536621842927
mOM,2.539129593834808e+19,0.012211274259218198,0.3034027988074306,1.0444440642336073,0.8301848465093702,0.010709,0.303403,1.011406066257993,mOM,0.8769762008188036
c,1.1525311930550506e+21,0.5542794871467598,0.3016298186602715,1.0444440642336073,0.8301848465093702,0.603087,0.243113,1.011406066257993,c,0.8769710480639464
gM,2.765756211917131e+19,0.013301175221564425,0.6350624326285292,1.0444440642336073,0.8301848465093702,0.011665,0.635062,1.011406066257993,gM,0.8769912157677049
mIMS,9.401469307911442e+18,0.004521388763979642,0.09649178151647864,1.0444440642336073,0.8301848465093702,0.003965,0.096492,1.011406066257993,mIMS,0.8769427377676382
vM,1.2623671981603344e+19,0.006071022176262963,0.9461018040310379,1.0444440642336073,0.8301848465093702,0.005324,0.946102,1.011406066257993,vM,0.8769496285541628
mIM,9.40593979637278e+19,0.04523538727526465,0.12184788570170035,1.0444440642336073,0.8301848465093702,0.03967,0.121848,1.011406066257993,mIM,0.8769681708535816
