;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YBR026C_m__+__YHR067W_m;YBR026C_m__+__YHR067W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YKL192C_m;YBR026C_m__+__YKL192C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YER061C_m;YBR026C_m__+__YER061C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YOR221C_m;YBR026C_m__+__YOR221C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YKL055C_m;YBR026C_m__+__YKL055C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YPR002W_m;YBR026C_m__+__YPR002W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YLR304C_m;YBR026C_m__+__YLR304C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YJL200C_m;YBR026C_m__+__YJL200C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YPL148C_m;YBR026C_m__+__YPL148C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YAL054C_m;YBR026C_m__+__YAL054C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YER170W_m;YBR026C_m__+__YER170W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YDR148C_m;YBR026C_m__+__YDR148C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YIL125W_m;YBR026C_m__+__YIL125W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YLR209C_m;YBR026C_m__+__YLR209C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YKL132C_m;YBR026C_m__+__YKL132C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YBL064C_m;YBR026C_m__+__YBL064C_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YCR083W_m;YBR026C_m__+__YCR083W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YER086W_m;YBR026C_m__+__YER086W_m;0,11636502057081088;0,11636502057081088;1,0
YBR026C_m__+__YKL194C_m;YBR026C_m__+__YKL194C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
