;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YJL026W_n__+__YIL010W_n;YJL026W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YJL026W_n__+__YKL024C_n;YJL026W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YJL026W_n__+__YFL001W_n;YJL026W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YGR180C_n__+__YGR209C_n;YGR180C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YGR180C_n__+__YIL010W_n;YGR180C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YGR180C_n__+__YKL024C_n;YGR180C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YGR180C_n__+__YFL001W_n;YGR180C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YGR209C_n__+__YIL010W_n;YGR209C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YGR209C_n__+__YKL024C_n;YGR209C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YGR209C_n__+__YFL001W_n;YGR209C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YIL010W_n__+__YKL024C_n;YIL010W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YIL010W_n__+__YFL001W_n;YIL010W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YKL024C_n__+__YFL001W_n;YKL024C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YPL212C_n__+__YNL292W_n;YPL212C_n__+__YNL292W_n;0,11636502057081088;0,11636502057081088;1,0
YPL212C_n__+__YDL080C_n;YPL212C_n__+__YDL080C_n;0,11636502057081088;0,11636502057081088;1,0
YPL212C_n__+__YBR034C_n;YPL212C_n__+__YBR034C_n;0,11636502057081088;0,11636502057081088;1,0
YPL212C_n__+__YDR315C_n;YPL212C_n__+__YDR315C_n;0,11636502057081088;0,11636502057081088;1,0
YPL212C_n__+__YDR173C_n;YPL212C_n__+__YDR173C_n;0,11636502057081088;0,11636502057081088;1,0
