,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,21789.482157044236
Tim910,P_Tim910,P_Tim910_apparent_efficiency,13671.35790275595
TIM23,P_Tim23,P_Tim23_apparent_efficiency,40806.81764103016
PAMm,P_PAMm,P_PAMm_apparent_efficiency,25525.534109020293
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,74757.73654853844
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,6571.166946055045
CTTc,P_CTTc,P_CTTc_apparent_efficiency,101311.48799393327
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,27475.018307036564
PFD,P_PFDc,P_PFDc_apparent_efficiency,461581.6433468176
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,2852.1376603663934
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,182850.33708510367
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,14473.6154814037
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,11269.454439195832
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,1075.395368346335
SAM,P_SAMm,P_SAMm_apparent_efficiency,23657.508133032265
MIA,P_MIA,P_MIA_apparent_efficiency,23657.508133032265
TIM22,P_TIM22,P_TIM22_apparent_efficiency,23657.508133032265
MPP,P_MPP,P_MPP_apparent_efficiency,23657.508133032265
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,2.3911968988460876e-16
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,3.514894104281707e-18
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,5.2065821391889015e-18
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,5.632733110073486e-20
