,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,22977.573301966582
SAM,P_SAMm,P_SAMm_apparent_efficiency,61274.71160938636
MIA,P_MIA,P_MIA_apparent_efficiency,1372.9824242904933
Tim910,P_Tim910,P_Tim910_apparent_efficiency,9617.142595850704
TIM23,P_Tim23,P_Tim23_apparent_efficiency,32707.78999450668
TIM22,P_TIM22,P_TIM22_apparent_efficiency,14747.096621484643
PAMm,P_PAMm,P_PAMm_apparent_efficiency,19291.76426261874
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,50017.40068124316
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,4944.994059107891
CTTc,P_CTTc,P_CTTc_apparent_efficiency,82359.90092748454
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,19481.06881729645
PFD,P_PFDc,P_PFDc_apparent_efficiency,326694.0250208636
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,2284.863173648298
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,101275.28088018257
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,16124.06182505564
MPP,P_MPP,P_MPP_apparent_efficiency,44400.3775960494
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,7427.797277666215
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,892.7376017130687
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,2.5515497426579203e-16
mitoRNApolymerase,P_mitoRNApolymerase,P_mitoRNApolymerase_apparent_efficiency,3.103814651488882e-17
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,7.0318573334433e-18
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,6.707908037920485e-18
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,2.586692778148223e-20
