;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YIR034C_c;YIR034C_c;4,0746634900368134e-10;0,11624649420264177;3,5051925806328654e-09
YJR010W_c;YJR010W_c;0,11624649420264177;0,11624649420264177;1,0
YJR159W_c;YJR159W_c;0,11624649420264177;0,11624649420264177;1,0
YCL064C_mIM;YCL064C_mIM;0,11624649420264177;0,11624649420264177;1,0
YIL167W_c;YIL167W_c;0,11624649420264177;0,11624649420264177;1,0
YMR296C_c;YMR296C_c;0,11624649420264177;0,11624649420264177;1,0
YDR062W_c;YDR062W_c;0,11624649420264177;0,11624649420264177;1,0
YBR058C-A_c;YBR058C-A_c;0,11624649420264177;0,11624649420264177;1,0
YDR023W_c;YDR023W_c;0,11624649420264177;0,11624649420264177;1,0
YJL068C_c;YJL068C_c;0,11624649420264177;0,11624649420264177;1,0
YBR213W_c;YBR213W_c;0,11624649420264177;0,11624649420264177;1,0
YML082W_c;YML082W_c;0,09544004618938207;0,11624649420264177;0,821014404296875
YPR069C_c;YPR069C_c;0,11624649420264177;0,11624649420264177;1,0
YLR146C_c;YLR146C_c;0,11624649420264177;0,11624649420264177;1,0
YBR006W_c;YBR006W_c;0,0002305914954581212;0,11624649420264177;0,001983642578125
YKL141W_mIM;YKL141W_mIM;1,8584572952984753e-15;0,11624649420264177;1,5987211554602226e-14
YDR178W_mIM;YDR178W_mIM;0,11624649420264177;0,11624649420264177;1,0
YJL045W_mIM;YJL045W_mIM;0,11624649420264177;0,11624649420264177;1,0
YLL041C_mIM;YLL041C_mIM;0,116132972235647;0,11624649420264177;0,9990234375
YKL148C_mIM;YKL148C_mIM;0,11624649420264177;0,11624649420264177;1,0
YLR164W_mIM;YLR164W_mIM;0,11624649420264177;0,11624649420264177;1,0
YMR118C_mIM;YMR118C_mIM;0,11624649420264177;0,11624649420264177;1,0
YJR095W_mIM;YJR095W_mIM;0,11624649420264177;0,11624649420264177;1,0
YFR030W_c;YFR030W_c;0,11624649420264177;0,11624649420264177;1,0
YJR137C_c;YJR137C_c;0,11624649420264177;0,11624649420264177;1,0
YDR058C_c;YDR058C_c;0,11624649420264177;0,11624649420264177;1,0
YLR354C_c;YLR354C_c;0,11624649420264177;0,11624649420264177;1,0
YGR043C_c;YGR043C_c;0,11624649420264177;0,11624649420264177;1,0
YLL057C_c;YLL057C_c;0,11624649420264177;0,11624649420264177;1,0
YOR241W_mIM;YOR241W_mIM;0,11624649420264177;0,11624649420264177;1,0
YKL132C_m;YKL132C_m;0,11624649420264177;0,11624649420264177;1,0
