;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YPL212C_n;YPL212C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n;YNL292W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n;YDL080C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n;YBR034C_n;0,11636502057081088;0,11636502057081088;1,0
YDR315C_n;YDR315C_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n;YDR173C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n;YHR074W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n;YGR010W_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n;YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n;YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n;YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n;YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YJL026W_n;YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YGR180C_n;YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YGR209C_n;YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YIL010W_n;YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YOR074C_n;YOR074C_n;2,8307123865269357e-07;0,11636502057081088;2,4326145199315974e-06
YKL024C_n;YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YDR047W_n;YDR047W_n;0,0001353886843646901;0,11636502057081088;0,001163482666015625
YFL001W_n;YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
