;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0.22912382299043998;1.0;2.960738104668144e-07;773873.9965861366;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;;;;58263505.80146443;twinenzyme;;R_PYRDC_duplicate_3_enzyme
R_3MOPDC;R_3MOPDC_enzyme;;;;58263505.80146443;twinenzyme;;R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;170377.6804873055;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;27198.982067358575;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0.06118412080117455;1.0;2.2495003912150613e-06;27198.982067358575;estimated;R_AASAD2_enzyme;
