;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0.07426781517224999;1.0;3.375978368690121e-07;219989.0137360859;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;0.970879506322968;1.0;5.355556286879908e-07;1812845.3036735654;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_2;R_3MOBDC_duplicate_2_enzyme;0.970879506322968;1.0;5.355556286879908e-07;1812845.3036735654;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_3;R_3MOBDC_duplicate_3_enzyme;0.970879506322968;1.0;5.355556286879908e-07;1812845.3036735654;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOPDC;R_3MOPDC_enzyme;;;;1812845.3036735654;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;5080.358332220599;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;12249.066493502456;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0.022050683434152937;1.0;1.8001929735502514e-06;12249.066493502456;estimated;R_AASAD2_enzyme;
R_ABTA;R_ABTA_enzyme;8.993771469820537e-06;1.0;6.513767313450036e-07;13.807326907808992;estimated;R_ABTA_enzyme;
R_ABUTDm;R_ABUTDm_enzyme;;;;27829.58357159657;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ACACT1m;R_ACACT1m_enzyme;0.007301378368982795;1.0;6.526185313228653e-06;1118.7819558514245;estimated;R_ACACT1m_enzyme;
R_ACACT1r;R_ACACT1r_enzyme;;;;1118.7819558514245;twinenzyme;;R_ACACT1m_enzyme
R_ACALDCD;R_ACALDCD_enzyme;;;;1812845.3036735654;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_ACGKm;R_ACGKm_enzyme;0.030963341369730467;1.0;1.6396368905219906e-05;1888.4267333039243;estimated;R_ACGKm_enzyme;
R_ACGSm;R_ACGSm_enzyme;;;;3953.6631735180554;twinenzyme;;R_ORNTACim_enzyme
R_ACHBSm;R_ACHBSm_enzyme;0.5980017601443676;1.0;1.5371460882184006e-05;38903.37845750692;estimated;R_ACHBSm_enzyme;
R_ACLSm;R_ACLSm_enzyme;0.5980017601443676;1.0;1.5371460882184006e-05;38903.37845750692;estimated;R_ACLSm_enzyme;
R_ACONT;R_ACONT_enzyme;0.17069725434684493;1.0;1.7597954081651368e-05;9699.835194184512;estimated;R_ACONT_enzyme;
R_ACONTm;R_ACONTm_enzyme;;;;9699.835194184512;twinenzyme;;R_ACONT_enzyme
R_ACOTAim;R_ACOTAim_enzyme;0.015481670684865233;1.0;4.8231772311202405e-06;3209.8490150795124;estimated;R_ACOTAim_enzyme;
R_ACS;R_ACS_enzyme;0.12387245881139508;1.0;8.719549314023227e-06;14206.29144354709;estimated;R_ACS_enzyme;
R_ACSm;R_ACSm_enzyme;0.49842761553880194;1.0;2.4226912854896536e-05;20573.30286050309;estimated;R_ACSm_enzyme;
R_ACSp;R_ACSp_enzyme;;;;20573.30286050309;twinenzyme;;R_ACSm_enzyme
R_ADNK1;R_ADNK1_enzyme;0.004888960694944764;1.0;1.2002482674659157e-05;407.3291191052354;estimated;R_ADNK1_enzyme;
R_ADSK;R_ADSK_enzyme;0.012407649749494449;1.0;6.928634923001022e-06;1790.7783982534158;estimated;R_ADSK_enzyme;
R_ADSS;R_ADSS_enzyme;0.010706567470331337;1.0;3.32553885027246e-06;3219.4985391477694;estimated;R_ADSS_enzyme;
R_AGAT_SC;R_AGAT_SC_enzyme;0.0058994567913126066;1.0;3.317158096437854e-07;17784.67175757395;estimated;R_AGAT_SC_enzyme;
R_AGAT_SC_duplicate_2;R_AGAT_SC_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_AGAT_SC
R_AGPRim;R_AGPRim_enzyme;0.030963341369730467;1.0;1.6396368905219906e-05;1888.4267333039243;estimated;R_AGPRim_enzyme;
R_AGTi;R_AGTi_enzyme;0.002027324308564789;1.0;2.304737945660929e-06;879.6333276768321;estimated;R_AGTi_enzyme;
R_AHCi;R_AHCi_enzyme;0.004888960694944764;1.0;3.506911637927142e-05;139.40929226932337;estimated;R_AHCi_enzyme;
R_AHSERL;R_AHSERL_enzyme;;;;850.8786655013473;twinenzyme;;R_AHSERL2_enzyme
R_AHSERL2;R_AHSERL2_enzyme;0.012407649749494449;1.0;1.4582161067798923e-05;850.8786655013473;estimated;R_AHSERL2_enzyme;
R_AICART;R_AICART_enzyme;;;;6535.29889590415;twinenzyme;;R_IMPC_enzyme
R_ALASm;R_ALASm_enzyme;3.135119274397337e-05;1.0;1.1639901493121235e-07;269.34242323700767;estimated;R_ALASm_enzyme;
R_ALATA_Lm;R_ALATA_Lm_enzyme;0.00013456597832651324;-1.0;8.450353887205342e-07;159.24300937296746;estimated;R_ALATA_Lm_enzyme;
R_ALCD22xi;R_ALCD22xi_enzyme;;;;87341.68100380883;twinenzyme;;R_ALCD24xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme
R_ALCD23xi;R_ALCD23xi_enzyme;;;;71916.96128533578;twinenzyme;;R_ALCD24xi_enzyme , R_ALCD25xi_enzyme , R_ALCD2x_new_duplicate_2_enzyme
R_ALCD24xi;R_ALCD24xi_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_2_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_2;R_ALCD24xi_duplicate_2_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_2_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_3;R_ALCD24xi_duplicate_3_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_2_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_4;R_ALCD24xi_duplicate_4_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_2_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_5;R_ALCD24xi_duplicate_5_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_2_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD25xi;R_ALCD25xi_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_2;R_ALCD25xi_duplicate_2_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_3;R_ALCD25xi_duplicate_3_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_4;R_ALCD25xi_duplicate_4_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_5;R_ALCD25xi_duplicate_5_enzyme;0.32394199587970296;1.0;3.708904982783379e-06;87341.68100380883;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD26xi;R_ALCD26xi_enzyme;;;;87341.68100380883;twinenzyme;;R_ALCD24xi_duplicate_5_enzyme , R_ALCD25xi_duplicate_5_enzyme
R_ALCD2irm_duplicate_2;R_ALCD2irm_duplicate_2_enzyme;;;;87341.68100380883;twinenzyme;;R_ALCD24xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_3_enzyme
