;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0,11180160232164;1,0;1,3072473521433427e-07;855244,4350973961;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;1,3736661538057113;1,0;5,265601316518664e-07;2608754,577556788;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_2;R_3MOBDC_duplicate_2_enzyme;1,3736661538057113;1,0;5,265601316518664e-07;2608754,577556788;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_3;R_3MOBDC_duplicate_3_enzyme;1,3736661538057113;1,0;5,265601316518664e-07;2608754,577556788;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOPDC;R_3MOPDC_enzyme;;;;2608754,5775567875;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;8150,459325907829;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;18325,758695127548;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0,0328074414262222;1,0;1,790236462894442e-06;18325,758695127548;estimated;R_AASAD2_enzyme;
R_ABTA;R_ABTA_enzyme;2,025487711093865e-05;1,0;5,003632464813344e-07;40,4803455357192;estimated;R_ABTA_enzyme;
R_ABUTDm;R_ABUTDm_enzyme;;;;44379,39920002193;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ACACT1m;R_ACACT1m_enzyme;0,010670888366323378;1,0;6,428750236387559e-06;1659,8697995645823;estimated;R_ACACT1m_enzyme;
R_ACACT1r;R_ACACT1r_enzyme;;;;1659,8697995645823;twinenzyme;;R_ACACT1m_enzyme
R_ACALDCD;R_ACALDCD_enzyme;;;;2608754,5775567875;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_ACGKm;R_ACGKm_enzyme;0,04616595438675811;1,0;1,126981044400175e-05;4096,426875691552;estimated;R_ACGKm_enzyme;
R_ACGSm;R_ACGSm_enzyme;;;;7679,032703556651;twinenzyme;;R_ORNTACim_enzyme
R_ACHBSm;R_ACHBSm_enzyme;0,8210746949708752;1,0;1,2964170213654847e-05;63334,14953978752;estimated;R_ACHBSm_enzyme;
R_ACLSm;R_ACLSm_enzyme;0,8210746949708752;1,0;1,2964170213654847e-05;63334,14953978752;estimated;R_ACLSm_enzyme;
R_ACONT;R_ACONT_enzyme;0,1845828204994765;1,0;1,9708861765226733e-05;9365,473394569372;estimated;R_ACONT_enzyme;
R_ACONTm;R_ACONTm_enzyme;;;;9365,473394569372;twinenzyme;;R_ACONT_enzyme
R_ACOTAim;R_ACOTAim_enzyme;0,023082977193379053;1,0;4,081075829610112e-06;5656,101027552899;estimated;R_ACOTAim_enzyme;
R_ACS;R_ACS_enzyme;0,18091954819912934;1,0;1,060738617669213e-05;17055,99713119414;estimated;R_ACS_enzyme;
R_ACSm;R_ACSm_enzyme;0,6200601618136259;1,0;1,379851761589048e-05;44936,72284764559;estimated;R_ACSm_enzyme;
R_ACSp;R_ACSp_enzyme;;;;44936,72284764559;twinenzyme;;R_ACSm_enzyme
R_ADNK1;R_ADNK1_enzyme;0,0071451824694868694;1,0;1,3917500531297039e-05;513,3955233857624;estimated;R_ADNK1_enzyme;
R_ADSK;R_ADSK_enzyme;0,018007781248875226;1,0;6,246874754189622e-06;2882,6864564233274;estimated;R_ADSK_enzyme;
R_ADSS;R_ADSS_enzyme;0,016755028609162288;1,0;3,326883003071185e-06;5036,254233676093;estimated;R_ADSS_enzyme;
R_AGAT_SC;R_AGAT_SC_enzyme;0,008621994596181364;1,0;4,195166518245719e-07;20552,210642133934;estimated;R_AGAT_SC_enzyme;
R_AGAT_SC_duplicate_2;R_AGAT_SC_duplicate_2_enzyme;;1,0;;0,0;isoenzyme;;R_AGAT_SC
R_AGPRim;R_AGPRim_enzyme;0,04616595438675811;1,0;1,126981044400175e-05;4096,426875691552;estimated;R_AGPRim_enzyme;
R_AGTi;R_AGTi_enzyme;0,0013221713014918632;1,0;1,3941071771658247e-06;948,4000392134808;estimated;R_AGTi_enzyme;
R_AHCi;R_AHCi_enzyme;0,0071451824694868694;1,0;4,104849709620335e-05;174,06684714280905;estimated;R_AHCi_enzyme;
R_AHSERL;R_AHSERL_enzyme;;;;1371,4674247233675;twinenzyme;;R_AHSERL2_enzyme
R_AHSERL2;R_AHSERL2_enzyme;0,018007781248875226;1,0;1,3130301838928107e-05;1371,4674247233675;estimated;R_AHSERL2_enzyme;
R_AICART;R_AICART_enzyme;;;;10060,874069540714;twinenzyme;;R_IMPC_enzyme
R_ALASm;R_ALASm_enzyme;4,358688662912015e-05;1,0;1,3534227409250387e-07;322,0493147568168;estimated;R_ALASm_enzyme;
R_ALATA_Lm;R_ALATA_Lm_enzyme;0,00019054168208999453;-1,0;8,177936432161204e-07;232,99481925618196;estimated;R_ALATA_Lm_enzyme;
R_ALCD22xi_duplicate_2;R_ALCD22xi_duplicate_2_enzyme;;;;45715,12942883539;twinenzyme;;R_ALCD24xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD2x_new_enzyme
R_ALCD23xi;R_ALCD23xi_enzyme;;;;45715,12942883539;twinenzyme;;R_ALCD24xi_enzyme , R_ALCD25xi_enzyme , R_ALCD2x_new_duplicate_2_enzyme
R_ALCD24xi;R_ALCD24xi_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_2;R_ALCD24xi_duplicate_2_enzyme;;1,0;;0,0;isoenzyme;;R_ALCD24xi
R_ALCD24xi_duplicate_3;R_ALCD24xi_duplicate_3_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_4;R_ALCD24xi_duplicate_4_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_5;R_ALCD24xi_duplicate_5_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD25xi;R_ALCD25xi_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_2;R_ALCD25xi_duplicate_2_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_3;R_ALCD25xi_duplicate_3_enzyme;;1,0;;0,0;isoenzyme;;R_ALCD25xi
R_ALCD25xi_duplicate_4;R_ALCD25xi_duplicate_4_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD25xi_duplicate_5;R_ALCD25xi_duplicate_5_enzyme;0,391430001037849;1,0;9,090857909054874e-06;43057,542528298494;estimated;R_ALCD25xi_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD25xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_5_enzyme;
R_ALCD26xi;R_ALCD26xi_enzyme;;;;43057,542528298494;twinenzyme;;R_ALCD24xi_duplicate_5_enzyme , R_ALCD25xi_duplicate_5_enzyme
R_ALCD2x_new;R_ALCD2x_new_enzyme;0,391430001037849;-1,0;7,670540370381915e-06;51030,30322990917;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALCD2x_new_duplicate_2;R_ALCD2x_new_duplicate_2_enzyme;0,391430001037849;-1,0;7,670540370381915e-06;51030,30322990917;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALCD2x_new_duplicate_3;R_ALCD2x_new_duplicate_3_enzyme;0,391430001037849;-1,0;7,670540370381915e-06;51030,30322990917;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALDD20xm;R_ALDD20xm_enzyme;;;;44379,39920002193;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ALDD20ym;R_ALDD20ym_enzyme;;;;44379,39920002193;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ALDD2xm;R_ALDD2xm_enzyme;;;;44379,39920002193;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ALDD2ym;R_ALDD2ym_enzyme;0,7881516738867691;1,0;1,7759403869676082e-05;44379,39920002193;estimated;R_ALDD2ym_enzyme , R_ALDD2ym_duplicate_2_enzyme;
R_ALDD2ym_duplicate_2;R_ALDD2ym_duplicate_2_enzyme;0,7881516738867691;1,0;1,7759403869676082e-05;44379,39920002193;estimated;R_ALDD2ym_enzyme , R_ALDD2ym_duplicate_2_enzyme;
R_AMPtm_HAdded;R_AMPtm_HAdded_enzyme;;;;32078,23844469454;twinenzyme;;R_ATPtm_H_enzyme , R_ATPtm_HAdded_enzyme , R_dATPtm_HAdded_enzyme
R_ANPRT;R_ANPRT_enzyme;0,005299084048242697;1,0;8,582121528823769e-07;6174,561884780217;estimated;R_ANPRT_enzyme;
R_ANS;R_ANS_enzyme;0,005299084048242697;1,0;1,1989141767220628e-06;4419,902734598452;estimated;R_ANS_enzyme;
R_ARGSL;R_ARGSL_enzyme;0,023082977193379053;1,0;1,5427288029232063e-06;14962,433546091039;estimated;R_ARGSL_enzyme;
R_ARGSS;R_ARGSS_enzyme;0,023082977193379053;1,0;4,977299185093763e-06;4637,65113065917;estimated;R_ARGSS_enzyme;
R_ARGTRS;R_ARGTRS_enzyme;0,02111263429334475;1,0;2,5776617160137172e-06;8190,61483598975;estimated;R_ARGTRS_enzyme;
R_ASAD;R_ASAD_enzyme;0,07015990312517391;-1,0;6,9643519782691005e-06;10074,14664624852;estimated;R_ASAD_enzyme;
R_ASNS1;R_ASNS1_enzyme;0,023422135040799052;1,0;4,097060220000195e-06;5716,81493146272;estimated;R_ASNS1_enzyme , R_ASNS1_duplicate_3_enzyme;
R_ASNS1_duplicate_2;R_ASNS1_duplicate_2_enzyme;;1,0;;0,0;isoenzyme;;R_ASNS1
R_ASNS1_duplicate_3;R_ASNS1_duplicate_3_enzyme;0,023422135040799052;1,0;4,097060220000195e-06;5716,81493146272;estimated;R_ASNS1_enzyme , R_ASNS1_duplicate_3_enzyme;
R_ASNTRS;R_ASNTRS_enzyme;0,023276213782275096;1,0;3,709685736628953e-06;6274,4435606630495;estimated;R_ASNTRS_enzyme;
R_ASPCT;R_ASPCT_enzyme;0,030547857933022803;1,0;7,70089852157417e-06;3966,7913877117808;estimated;R_ASPCT_enzyme;
R_ASPK;R_ASPK_enzyme;0,07015990312517391;1,0;4,019938760254989e-06;17452,97809480152;estimated;R_ASPK_enzyme;
R_ASPTA;R_ASPTA_enzyme;0,2672609075639834;-1,0;6,116430393180654e-06;43695,569210099835;estimated;R_ASPTA_enzyme;
R_ASPTAp;R_ASPTAp_enzyme;;;;23394,07562450955;twinenzyme;;R_ASPTA_enzyme , R_TYRTAi_duplicate_3_enzyme
R_ASPTRS;R_ASPTRS_enzyme;0,025758790214496143;1,0;3,929915712772995e-06;6554,540121757582;estimated;R_ASPTRS_enzyme;
R_ATPPRT;R_ATPPRT_enzyme;0,009541777577944862;1,0;6,141060465208055e-06;1553,7670785043465;estimated;R_ATPPRT_enzyme;
R_ATPS;R_ATPS_enzyme;0,5360313057818412;1,0;2,5391480489450857e-06;211106,7552774407;estimated;R_ATPS_enzyme , R_ATPS_duplicate_2_enzyme;
R_ATPS3m;R_ATPS3m_enzyme;3,5673596072643448;1,0;1,4047776655609065e-05;253944,78391283023;estimated;R_ATPS3m_enzyme , R_ATPS3m_duplicate_2_enzyme;
R_ATPS3m_duplicate_2;R_ATPS3m_duplicate_2_enzyme;3,5673596072643448;1,0;1,4047776655609065e-05;253944,78391283023;estimated;R_ATPS3m_enzyme , R_ATPS3m_duplicate_2_enzyme;
