,Hackett_C005,Hackett_C01,Hackett_C016,Hackett_C022,Hackett_C03,Model
P_TOM,9799.69961,16798.85183335,24806.73099158,34448.87120251,35342.41162,"{""linear"": {""Y_max"": 35342.41162, ""Y_min"": 9799.69961, ""A"": 163426.10527, ""B"": -360.88922, ""X_max"": null, ""X_min"": null}}"
P_Tim910,7108.09689,18788.54768605,30492.22928,30492.22928,30492.22928,"{""linear"": {""Y_max"": 30492.22928, ""Y_min"": 7108.09689, ""A"": 268051.58501, ""B"": -9356.86874, ""X_max"": null, ""X_min"": null}}"
P_Tim23,9598.29127,12359.750439299998,22352.241385639998,34037.74457,34037.74457,"{""linear"": {""Y_max"": 34037.74457, ""Y_min"": 9598.29127, ""A"": 203928.38666, ""B"": -9052.73016, ""X_max"": null, ""X_min"": null}}"
P_PAMm,5611.74954,10188.0113805,14926.949659400001,20633.018199299997,23594.08627,"{""linear"": {""Y_max"": 23594.08627, ""Y_min"": 5611.74954, ""A"": 96713.0261, ""B"": 33.14364, ""X_max"": null, ""X_min"": null}}"
P_HSP40c,1438.978922075,3976.9396919057494,6089.429112551481,8447.226874776068,11353.52118263308,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": -29160.69497, ""B"": 50664.64899, ""C"": -1021.35179}}"
P_HSP70c,360.0,472.75977955549996,682.89316255672,975.6942456039801,1448.47624601912,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 6243.46142, ""B"": 2671.37988, ""C"": 123.43073}}"
P_CTTc,7501.785719649999,13221.201988606499,18894.81817309576,26449.21240434234,38107.011353034955,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 113449.02586, ""B"": 86404.7877, ""C"": 2897.92377}}"
P_HSP90c,1870.355546425,4416.90591428925,6739.672845305319,9604.022617910128,13656.648937479718,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 10600.87477, ""B"": 44657.78019, ""C"": -389.03565}}"
P_PFDc,11124.901789475003,27591.198789949754,41421.43725530124,57024.174767751916,76576.24062580205,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": -164783.20761, ""B"": 324928.61537, ""C"": -4709.57096}}"
P_HSP60m,714.8114011,1317.7208281209998,1813.3457270238398,2358.2115339715597,3013.8707231166395,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": -8146.11276, ""B"": 12224.63706, ""C"": 123.94483}}"
P_SEC63er,6355.756277275,12639.14271517775,19330.090248610362,28753.24304372999,44122.386801981556,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 214486.15271, ""B"": 80998.03611, ""C"": 1769.63909}}"
P_SEC61er,6462.1522967,12298.643343811998,19106.60501392048,29314.80119158832,46908.082899282075,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 315576.67528, ""B"": 57203.63437, ""C"": 2813.02889}}"
P_HSP100m,1109.4094399750002,2247.96798408975,3471.34791029084,5205.76395609831,8052.055619423638,"{""quadratic"": {""X_max"": null, ""X_min"": null, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 41018.00799, ""B"": 14343.2732, ""C"": 289.70076}}"
P_HSP26c,360.0,1054.9177257099996,4280.925649878402,11390.1533383756,26889.42074160639,"{""quadratic"": {""X_max"": null, ""X_min"": 0.06445626155680868, ""Y_max"": 360000000, ""Y_min"": 360, ""A"": 506097.1124, ""B"": -65242.2557, ""C"": 2325.63391}}"
P_SAMm,517195.20103,517195.20103,517195.20103,820919.4533236797,1168789.35104,"{""linear"": {""Y_max"": 1168789.35104, ""Y_min"": 517195.20103, ""A"": 9744933.73936, ""B"": -1254751.43316, ""X_max"": null, ""X_min"": null}}"
P_MIA,517195.20103,517195.20103,517195.20103,820919.4533236797,1168789.35104,"{""linear"": {""Y_max"": 1168789.35104, ""Y_min"": 517195.20103, ""A"": 9744933.73936, ""B"": -1254751.43316, ""X_max"": null, ""X_min"": null}}"
P_TIM22,517195.20103,517195.20103,517195.20103,820919.4533236797,1168789.35104,"{""linear"": {""Y_max"": 1168789.35104, ""Y_min"": 517195.20103, ""A"": 9744933.73936, ""B"": -1254751.43316, ""X_max"": null, ""X_min"": null}}"
P_MPP,517195.20103,517195.20103,517195.20103,820919.4533236797,1168789.35104,"{""linear"": {""Y_max"": 1168789.35104, ""Y_min"": 517195.20103, ""A"": 9744933.73936, ""B"": -1254751.43316, ""X_max"": null, ""X_min"": null}}"
P_RNApolymerase2,360.0,360.0,360.0,360.0,360.0,"{""constant"": {""CONSTANT"": -0.0}}"
P_RNApolymerase3,360.0,360.0,360.0,360.0,360.0,"{""constant"": {""CONSTANT"": -0.0}}"
P_DNAreplication,360.0,360.0,360.0,360.0,360.0,"{""constant"": {""CONSTANT"": -0.0}}"
P_mitoDNAreplication,360.0,360.0,360.0,360.0,360.0,"{""constant"": {""CONSTANT"": -0.0}}"
