,Enzyme_ID,Hackett_C005,Hackett_C005_Flux,Hackett_C01,Hackett_C01_Flux,Hackett_C016,Hackett_C016_Flux,Hackett_C022,Hackett_C022_Flux,Hackett_C03,Hackett_C03_Flux,Model
R_13GS_enzyme,R_13GS_enzyme,[184733.06614],1.0,[184733.06614],1.0,[184733.06614],1.0,[914010.7993954755],1.0,[1708696.01106],1.0,"{""linear"": {""Y_max"": 1708696.01106, ""Y_min"": 184733.06614, ""A"": 103778786.56796, ""B"": -21190870.73958, ""X_max"": null, ""X_min"": null}}"
R_13GS_duplicate_10_enzyme,R_13GS_duplicate_10_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_11_enzyme,R_13GS_duplicate_11_enzyme,[184733.06614],1.0,[184733.06614],1.0,[184733.06614],1.0,[914010.7993954755],1.0,[1708696.01106],1.0,"{""linear"": {""Y_max"": 1708696.01106, ""Y_min"": 184733.06614, ""A"": 103778786.56796, ""B"": -21190870.73958, ""X_max"": null, ""X_min"": null}}"
R_13GS_duplicate_12_enzyme,R_13GS_duplicate_12_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_13_enzyme,R_13GS_duplicate_13_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_14_enzyme,R_13GS_duplicate_14_enzyme,[184733.06614],1.0,[184733.06614],1.0,[184733.06614],1.0,[914010.7993954755],1.0,[1708696.01106],1.0,"{""linear"": {""Y_max"": 1708696.01106, ""Y_min"": 184733.06614, ""A"": 103778786.56796, ""B"": -21190870.73958, ""X_max"": null, ""X_min"": null}}"
R_13GS_duplicate_15_enzyme,R_13GS_duplicate_15_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_2_enzyme,R_13GS_duplicate_2_enzyme,[184733.06614],1.0,[184733.06614],1.0,[184733.06614],1.0,[914010.7993954755],1.0,[1708696.01106],1.0,"{""linear"": {""Y_max"": 1708696.01106, ""Y_min"": 184733.06614, ""A"": 103778786.56796, ""B"": -21190870.73958, ""X_max"": null, ""X_min"": null}}"
R_13GS_duplicate_3_enzyme,R_13GS_duplicate_3_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_4_enzyme,R_13GS_duplicate_4_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
R_13GS_duplicate_5_enzyme,R_13GS_duplicate_5_enzyme,[184733.06614],1.0,[184733.06614],1.0,[184733.06614],1.0,[914010.7993954755],1.0,[1708696.01106],1.0,"{""linear"": {""Y_max"": 1708696.01106, ""Y_min"": 184733.06614, ""A"": 103778786.56796, ""B"": -21190870.73958, ""X_max"": null, ""X_min"": null}}"
R_13GS_duplicate_6_enzyme,R_13GS_duplicate_6_enzyme,360,1.0,360,1.0,360,1.0,360,1.0,360,1.0,"{""constant"": {""CONSTANT"": 360}}"
